day,daily_total_precip
2025-03-19,0.82323
2025-03-20,0.12114
2025-03-21,0
2025-03-22,0
2025-03-23,0.39756
2025-03-24,0
2025-03-25,0
2025-03-26,0
2025-03-27,0
2025-03-28,0.01606
2025-03-29,0
2025-03-30,0.02811
2025-03-31,0
2025-04-01,0.05622
2025-04-02,1.01933
2025-04-02,1.01933
2025-04-03,0
2025-04-03,0
2025-04-04,0.30587
2025-04-05,0.00736
2025-04-06,0
2025-04-07,0
2025-04-08,0
2025-04-09,0.00469
2025-04-10,0
2025-04-11,0
2025-04-12,0
2025-04-13,0
2025-04-14,0
2025-04-15,0
2025-04-16,0
2025-04-17,0.56488
2025-04-18,0.00937
2025-04-19,0
2025-04-20,0.53945
2025-04-21,0.01205
2025-04-22,0.03146
2025-04-23,0.54614
2025-04-24,0
2025-04-25,0.0415
2025-04-26,0
2025-04-27,0
2025-04-28,6.7e-4
2025-04-29,0
2025-04-30,0.03146
2025-05-01,0.41228
2025-05-02,0.00268
2025-05-03,0
2025-05-04,0.01874
2025-05-05,0
2025-05-06,0.00335
2025-05-07,0
2025-05-08,0
2025-05-09,0
2025-05-10,0
2025-05-11,0
2025-05-12,0
2025-05-13,0
2025-05-14,6.7e-4
2025-05-15,0.20614
2025-05-16,0
2025-05-17,0
2025-05-18,0
2025-05-19,0.00803
2025-05-20,0.88079
2025-05-21,0.03949
2025-05-22,0
2025-05-23,0.00134
2025-05-24,0.01071
2025-05-25,0.0522
2025-05-26,0
2025-05-27,0
2025-05-28,0.05622
2025-05-29,0.00134
2025-05-30,6.7e-4
2025-05-31,0
2025-06-01,0
2025-06-02,0
2025-06-03,0.58563
2025-06-04,0.44173
2025-06-05,0.00535
2025-06-06,0
2025-06-07,0.80382
2025-06-08,0.00402
2025-06-09,0.00201
2025-06-10,6.7e-4
2025-06-11,0
2025-06-12,0
2025-06-13,0
2025-06-14,0
2025-06-15,0
2025-06-16,0
2025-06-17,0.01004
2025-06-18,1.07221
2025-06-19,0.00201
2025-06-20,0.06157
2025-06-21,0
2025-06-22,0
2025-06-23,0
2025-06-24,0.42768
2025-06-25,0.11512
2025-06-26,0.0174
2025-06-27,0.00268
2025-06-28,0.00402
2025-06-29,0
2025-06-30,6.7e-4
2025-07-01,0
2025-07-02,0.00268
2025-07-03,0.00134
2025-07-04,0
2025-07-05,1.04476
2025-07-06,0.18004
2025-07-07,0.00201
2025-07-08,1.70669
2025-07-09,0.00402
2025-07-10,1.00795
2025-07-11,1.04343
2025-07-12,0.00535
2025-07-13,0.00335
2025-07-14,0.00469
2025-07-15,0.00402
2025-07-16,0.27642
2025-07-17,0.00134
2025-07-18,0.00402
2025-07-19,0
2025-07-21,0
2025-07-22,0
2025-07-23,0
2025-07-24,0.0174
2025-07-25,0.10642
2025-07-27,0
2025-07-28,0
2025-07-29,0
2025-09-15,0
2025-09-16,0.00201
2025-09-17,0
2025-09-18,0
2025-09-19,0.01807
2025-09-20,0.12382
2025-09-21,0.38551
2025-09-22,0.00469
2025-09-23,6.7e-4
2025-09-24,0.00134
2025-09-25,0.00268
2025-09-26,0
2025-09-27,0
2025-09-28,0
2025-09-29,0
2025-09-30,0
2025-10-01,0.00134
2025-10-02,0
2025-10-03,0
2025-10-04,0
2025-10-05,0
2025-10-06,0.38618
2025-10-07,0.34134
2025-10-08,0.00134
2025-10-09,0.00335
2025-10-10,0
2025-10-11,0.00335
2025-10-12,0.00535
2025-10-13,0.01339
2025-10-14,0.0087
2025-10-15,0.07429
2025-10-16,0
2025-10-17,0
2025-10-18,1.06484
2025-10-19,0.38484
2025-10-20,0.08165
2025-10-21,0.01539
2025-10-22,0
2025-10-23,0
2025-10-23,0.00134
2025-10-24,0
2025-10-24,0.00268
2025-10-25,0
2025-10-26,0
2025-10-27,0
2025-10-28,0
2025-10-29,0
2025-10-30,0
2025-10-31,0
2025-11-01,0
2025-11-02,0
2025-11-03,0
2025-11-04,0
2025-11-05,0
2025-11-06,0.0415
2025-11-07,0
2025-11-08,0.48055
2025-11-09,0.02008
2025-11-10,0.03213
2025-11-11,0.00803
2025-11-12,0
2025-11-13,0
2025-11-14,0
2025-11-15,0
2025-11-16,0
2025-11-17,0.22555
2025-11-18,0.15996
2025-11-19,0.01205
2025-11-20,0.00268
2025-11-21,0
2025-11-22,6.7e-4
2025-11-23,0.00535
2025-11-24,0.09504
2025-11-25,0.32595
2025-11-26,0
2025-11-27,0
2025-11-28,0
2025-11-29,0.00803
2025-11-30,0
2025-12-01,0
2025-12-02,0
2025-12-03,0
2025-12-04,0
2025-12-05,0
2025-12-06,0
2025-12-07,0
2025-12-08,0
2025-12-09,0.0676
2025-12-10,0.01138
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,0
2025-12-17,0
2025-12-18,0.21752
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0.00335
2025-12-25,0
2025-12-26,0.01874
2025-12-27,0.00602
2025-12-28,0.94906
2025-12-29,0
2025-12-30,0
2025-12-31,0.04618
2026-01-01,0
2026-01-02,0
2026-01-03,0
2026-01-04,0
2026-01-05,0
2026-01-06,0
2026-01-07,0
2026-01-08,0.26169
2026-01-09,0.01673
2026-01-10,0.27575
2026-01-11,0
2026-01-12,0
2026-01-13,0
2026-01-14,0
2026-01-15,0
2026-01-16,0.01539
2026-01-17,0
2026-01-18,0
2026-01-19,0
2026-01-20,0
2026-01-21,0
2026-01-22,0
2026-01-23,0
2026-01-24,0
2026-01-25,0
2026-01-26,0
2026-01-27,0
