ecosystem,pref,suff,date,air_temp,soil_temp,soil_moisture
WtP,1,2,230720,26.4,19.4,
WtP,2,2,230720,34.4,19.4,
WtP,3,2,230720,29.7,21.7,
WtP,4,2,230720,35.4,19.9,
PrP,1,2,230720,39,24.1,
PrP,2,2,230720,38.4,27.8,
PrP,3,2,230720,36.6,24.9,
SWdP,1,2,230720,29.9,22.6,
SWdP,2,2,230720,29,24.3,
SWdP,3,2,230720,29.3,23.1,
NWdP,1,2,230720,27.9,21.8,
NWdP,2,2,230720,28.4,20.3,
NWdP,3,2,230720,27.7,20.3,
NWd,1,1,230909,23.3,18.8,0.4
NWd,1,2,230909,24.2,18.4,0.4
NWd,1,3,230909,22,18.3,0.3
NWd,1,4,230909,21.3,18.7,0.3
NWd,2,1,230909,30.6,19.4,0.3
NWd,2,2,230909,25.4,19.4,0.8
NWd,2,3,230909,24.7,19.5,0.5
NWd,2,4,230909,25.6,19.5,0.5
NWd,3,1,230909,28.2,18.4,1.5
NWd,3,2,230909,27.6,18.6,0.5
NWd,3,3,230909,25.1,18.5,1.5
NWd,3,4,230909,25,18.6,1.3
SWd,1,1,230909,25.8,21,0.2
SWd,1,2,230909,25.9,20.2,0.6
SWd,1,3,230909,24.3,18.7,0.2
SWd,1,4,230909,25.9,20,0.2
SWd,2,1,230909,35.1,19.6,1.2
SWd,2,2,230909,26.6,19.7,0.9
SWd,2,3,230909,26.1,19.6,0
SWd,2,4,230909,25.2,20.2,0.9
SWd,3,1,230909,33.4,19.3,0
SWd,3,2,230909,31.7,19.4,1
SWd,3,3,230909,30.8,19.9,0.8
SWd,3,4,230909,42.7,20.7,0.8
Pr,1,1,230909,42.2,20.5,0.4
Pr,1,2,230909,43.2,21,0.4
Pr,1,3,230909,48.3,20.5,0.6
Pr,1,4,230909,49,22.3,1.1
Pr,2,1,230909,37.8,21.7,2.3
Pr,2,2,230909,36.1,20.1,2.5
Pr,2,3,230909,34.7,19.9,0
Pr,2,4,230909,36.8,22.6,2.1
Pr,3,1,230909,41.8,24.8,1
Pr,3,2,230909,42.7,25.2,1.3
Pr,3,3,230909,38.2,24.5,1.2
Pr,3,4,230909,29.9,31.5,3.7
Wt,1,1,230909,31.1,19.1,2.3
Wt,1,2,230909,22.2,19.1,4.9
Wt,1,3,230909,31,18.8,8.7
Wt,1,4,230909,30,18.8,39.8
Wt,2,1,230909,46.7,17.6,8.7
Wt,2,2,230909,37.7,17.1,6.5
Wt,2,3,230909,41.2,17.6,3.6
Wt,2,4,230909,40.6,17.9,2.2
Wt,3,1,230909,22.6,19.1,4.1
Wt,3,2,230909,24.3,18.7,2.4
Wt,3,3,230909,35.3,19.3,1.9
Wt,3,4,230909,41.3,19,2.8
Wt,4,1,230909,25.9,18.7,12.4
Wt,4,2,230909,36.4,18.4,13.1
Wt,4,3,230909,32,18.2,14.7
Wt,4,4,230909,28.3,18.4,20.4
WtP,1,1,230909,39.2,21.1,14.7
WtP,2,1,230909,39,22.9,3
WtP,3,1,230909,32.4,19.2,1.4
WtP,4,1,230909,38.4,18.4,13.1
PrP,1,1,230909,39.9,23.2,0.1
PrP,2,1,230909,33.1,27.1,0.5
PrP,3,1,230909,32.1,33.7,2.8
SWdP,1,1,230909,28.9,19.9,1.4
SWdP,2,1,230909,26,20.1,0.1
SWdP,3,1,230909,27.3,19.7,0.9
NWdP,1,1,230909,23.4,19.4,0.2
NWdP,2,1,230909,28.6,18.2,0.9
NWdP,3,1,230909,28.5,22.7,1
WtP,1,2,230909,36.8,21.1,14.7
WtP,2,2,230909,36.8,22.9,3
WtP,3,2,230909,30.8,19,1.4
WtP,4,2,230909,35,18.4,13.1
PrP,1,2,230909,34.5,23.2,0.1
PrP,2,2,230909,36.4,25.7,0.5
PrP,3,2,230909,31.8,33.7,2.8
SWdP,1,2,230909,27.1,19.4,1.4
SWdP,2,2,230909,25.8,20.1,0.1
SWdP,3,2,230909,29.3,19.7,0.9
NWdP,1,2,230909,25.6,19.4,0.2
NWdP,2,2,230909,25.6,17.2,0.9
NWdP,3,2,230909,26.1,22.7,1
NWd,1,1,231014,11.3,12.6,15.4
NWd,1,2,231014,11.2,19.9,4.2
NWd,1,3,231014,11.4,12.7,11.7
NWd,1,4,231014,11.4,12.6,16.1
NWd,2,1,231014,11.7,12.7,14.1
NWd,2,2,231014,11.6,12.4,14.9
NWd,2,3,231014,11.4,12.4,20.1
NWd,2,4,231014,11.5,12.5,22.4
NWd,3,1,231014,12.4,12.5,15.3
NWd,3,2,231014,12.5,12.6,16.2
NWd,3,3,231014,12.6,12.6,16.7
NWd,3,4,231014,12.4,12.8,14.1
SWd,1,1,231014,12.1,13.7,10.8
SWd,1,2,231014,11.6,13.4,10.4
SWd,1,3,231014,11.8,13.7,10.9
SWd,1,4,231014,11.8,13.7,8.5
SWd,2,1,231014,12.2,13.3,15.7
SWd,2,2,231014,12.4,13.5,20.5
SWd,2,3,231014,12.4,13.3,18.2
SWd,2,4,231014,12.2,13.2,15.5
SWd,3,1,231014,13.3,13.1,11.9
SWd,3,2,231014,13.6,13,14.8
SWd,3,3,231014,12.8,13.2,10.9
SWd,3,4,231014,12.9,13.2,6.3
Pr,1,1,231014,12.6,14.2,21.3
Pr,1,2,231014,12.6,14.4,24.6
Pr,1,3,231014,13.5,14.4,21.8
Pr,1,4,231014,13.4,14.3,23.3
Pr,2,1,231014,14.5,13.6,27.5
Pr,2,2,231014,14.3,13.5,31.7
Pr,2,3,231014,13.1,13.5,31.9
Pr,2,4,231014,14.2,13.4,28.9
Pr,3,1,231014,14.7,13.4,28.5
Pr,3,2,231014,15.2,13.3,27.8
Pr,3,3,231014,15.2,13.2,29.7
Pr,3,4,231014,15.6,13.3,31.1
Wt,1,1,231014,13,13.5,23.6
Wt,1,2,231014,13.2,13.4,23.7
Wt,1,3,231014,13.3,13.3,29.4
Wt,1,4,231014,13.1,13.4,43.9
Wt,2,1,231014,14.2,13.6,23.6
Wt,2,2,231014,13.7,13.5,24.5
Wt,2,3,231014,14.2,13.7,25
Wt,2,4,231014,13.8,13.5,32.3
Wt,3,1,231014,13.3,13.5,19.1
Wt,3,2,231014,13.2,13.4,18.6
Wt,3,3,231014,13,13.5,9.2
Wt,3,4,231014,12.8,13.6,27.6
Wt,4,1,231014,14.1,13.4,40.5
Wt,4,2,231014,14.1,13.3,40.2
Wt,4,3,231014,13.3,13.6,41.4
Wt,4,4,231014,13.2,13.7,38.4
WtP,1,1,231014,15.1,13.4,32.1
WtP,2,1,231014,13.9,13.7,22.9
WtP,3,1,231014,12.6,13,25.4
WtP,4,1,231014,13.8,12.9,40.9
PrP,1,1,231014,13.6,14.8,21.9
PrP,2,1,231014,12.6,13.1,27.5
PrP,3,1,231014,12.8,13.1,27.4
SWdP,1,1,231014,12.4,13.7,10.8
SWdP,2,1,231014,12.9,13.2,13.9
SWdP,3,1,231014,13.1,13.1,9.6
NWdP,1,1,231014,12.4,12.4,15.4
NWdP,2,1,231014,11.8,12.3,14.1
NWdP,3,1,231014,11.9,12.9,19.2
WtP,1,2,231014,14.8,13.4,32.1
WtP,2,2,231014,14.1,13.7,22.9
WtP,3,2,231014,12.9,13,25.4
WtP,4,2,231014,14.2,12.9,40.9
PrP,1,2,231014,12.9,14.8,21.9
PrP,2,2,231014,12.4,13.1,27.5
PrP,3,2,231014,13,13.1,27.4
SWdP,1,2,231014,12.3,13.7,10.8
SWdP,2,2,231014,12.8,13.2,13.9
SWdP,3,2,231014,13.1,13.1,9.6
NWdP,1,2,231014,12.3,12.4,15.4
NWdP,2,2,231014,11.7,12.3,14.1
NWdP,3,2,231014,12.1,12.9,19.2
NWd,1,1,231111,10.1,6.4,10.6
NWd,1,2,231111,9.7,5.7,5.1
NWd,1,3,231111,10.1,5.6,4.7
NWd,1,4,231111,10.6,5.5,3.7
NWd,2,1,231111,8.6,5.8,6.2
NWd,2,2,231111,9.9,5.6,9.5
NWd,2,3,231111,14.3,5.1,6.3
NWd,2,4,231111,14.7,5.4,7.3
NWd,3,1,231111,10.1,6.8,9.2
NWd,3,2,231111,9.8,6.4,11.7
NWd,3,3,231111,10.5,6.7,10.7
NWd,3,4,231111,13.7,6.1,11.1
SWd,1,1,231111,11.6,7.9,4.6
SWd,1,2,231111,10.1,7.2,5.2
SWd,1,3,231111,12.8,7.7,4.3
SWd,1,4,231111,11.9,8.2,5.1
SWd,2,1,231111,15.6,7.8,7.5
SWd,2,2,231111,18.1,8,7.9
SWd,2,3,231111,10.8,7.1,8.1
SWd,2,4,231111,13.7,8,5.4
SWd,3,1,231111,14.4,8.4,4.5
SWd,3,2,231111,15.1,8.3,8.1
SWd,3,3,231111,15,7.9,6.4
SWd,3,4,231111,19.7,8,6.8
Pr,1,1,231111,13.7,8.1,16.5
Pr,1,2,231111,16.5,8.1,19
Pr,1,3,231111,16.9,7.7,18.7
Pr,1,4,231111,16.8,7.5,17.4
Pr,2,1,231111,19,7.4,21.4
Pr,2,2,231111,18.5,7.3,24.8
Pr,2,3,231111,15.8,6.4,27.3
Pr,2,4,231111,18.7,6.4,24.3
Pr,3,1,231111,17.8,6.6,22.9
Pr,3,2,231111,17.4,6.9,19.4
Pr,3,3,231111,17.9,5.7,22.8
Pr,3,4,231111,14.9,5.6,26.2
Wt,1,1,231111,9.9,6.6,17.4
Wt,1,2,231111,9.3,6.8,21.4
Wt,1,3,231111,9.4,6.8,26.3
Wt,1,4,231111,9.5,7.7,42.4
Wt,2,1,231111,9.7,6.6,17.8
Wt,2,2,231111,8.3,7.2,17.4
Wt,2,3,231111,7.9,6.7,18.1
Wt,2,4,231111,8.4,7.1,27.5
Wt,3,1,231111,12.1,8.8,15.5
Wt,3,2,231111,11.6,8.7,11.9
Wt,3,3,231111,11,7.8,14.4
Wt,3,4,231111,10.8,8.3,21.9
Wt,4,1,231111,11.1,7.5,34.3
Wt,4,2,231111,11.4,6.9,32.5
Wt,4,3,231111,12.4,7.1,35.2
Wt,4,4,231111,9.7,7.1,32.9
WtP,1,1,231111,14.9,8.3,31.7
WtP,2,1,231111,10.2,7.3,19.8
WtP,3,1,231111,15.6,5.8,16.1
WtP,4,1,231111,12.9,7.2,28.4
PrP,1,1,231111,12.6,7,17.8
PrP,2,1,231111,15.4,5.3,22.4
PrP,3,1,231111,22.8,14.7,22.2
SWdP,1,1,231111,15.6,8.9,1.9
SWdP,2,1,231111,16.9,10.1,8.9
SWdP,3,1,231111,15.5,9.6,9.4
NWdP,1,1,231111,11.1,7.3,5.2
NWdP,2,1,231111,10.4,6.8,5.3
NWdP,3,1,231111,14.2,7.2,11.7
WtP,1,2,231111,14.9,8.3,31.7
WtP,2,2,231111,9.7,7.3,19.8
WtP,3,2,231111,13.3,5.8,16.1
WtP,4,2,231111,11.9,7.2,28.4
PrP,1,2,231111,12.3,7,17.8
PrP,2,2,231111,12.9,5.3,22.4
PrP,3,2,231111,19.9,14.7,22.2
SWdP,1,2,231111,14.4,8.9,1.9
SWdP,2,2,231111,15.7,10.1,8.9
SWdP,3,2,231111,15.1,9.6,9.4
NWdP,1,2,231111,10.5,7.3,5.2
NWdP,2,2,231111,11.8,6.8,5.3
NWdP,3,2,231111,13.8,7.2,11.7
