ecosystem,pref,suff,date,air_temp,soil_temp,soil_moisture
Wt,4,2,240611,25.9,19.9,34.8
Wt,4,3,240611,25.9,20.6,25.3
Wt,4,4,240611,25.9,19.6,22.9
WtP,1,1,240611,30.2,18,24.6
WtP,2,1,240611,29.9,17.2,49.6
WtP,3,1,240611,26.8,18.8,12.1
WtP,4,1,240611,25.8,17.6,31
PrP,1,1,240611,23.2,17.4,5.6
PrP,2,1,240611,24.1,17.3,6.8
PrP,3,1,240611,28.3,17.7,17
SWdP,1,1,240611,28.1,17.8,4
SWdP,2,1,240611,26.2,19.2,3
SWdP,3,1,240611,27.9,16.7,4.5
NWdP,1,1,240611,22.8,16.8,3.9
NWdP,2,1,240611,22.7,15.2,1.9
NWdP,3,1,240611,26.2,15.4,4.4
WtP,1,2,240611,30.2,18,24.6
WtP,2,2,240611,29.9,17.2,49.6
WtP,3,2,240611,26.8,18.8,12.1
WtP,4,2,240611,25.8,17.6,31
PrP,1,2,240611,23.2,17.4,5.6
PrP,2,2,240611,24.1,17.3,6.8
PrP,3,2,240611,28.3,17.7,17
SWdP,1,2,240611,28.1,17.8,4
SWdP,2,2,240611,26.2,19.2,3
SWdP,3,2,240611,27.9,16.7,4.5
NWdP,1,2,240611,22.8,16.8,3.9
NWdP,2,2,240611,22.7,15.2,1.9
NWdP,3,2,240611,26.2,15.4,4.4
NWd,1,1,240726,23.3,20.9,2.2
NWd,1,2,240726,23.3,20.9,2.1
NWd,1,3,240726,23.3,21,4.5
NWd,1,4,240726,23.3,21.1,2.4
NWd,2,1,240726,24,22,2.5
NWd,2,2,240726,24,21.7,4.8
NWd,2,3,240726,24,21.7,3.3
NWd,2,4,240726,24,21.7,2.9
NWd,3,1,240726,24.3,21.8,7.4
NWd,3,2,240726,24.3,21.7,5.5
NWd,3,3,240726,24.3,21.6,7.9
NWd,3,4,240726,24.3,21.8,5.7
SWd,1,1,240726,22.3,20.3,3.4
SWd,1,2,240726,22.3,20.7,1.5
SWd,1,3,240726,22.3,20.6,2.3
SWd,1,4,240726,22.3,20.1,2.9
SWd,2,1,240726,23.6,20.4,2.4
SWd,2,2,240726,23.6,20,5.1
SWd,2,3,240726,23.6,20,4.5
SWd,2,4,240726,23.6,20.2,3.8
SWd,3,1,240726,26.1,20.1,2.4
SWd,3,2,240726,26.1,20.3,3.7
SWd,3,3,240726,26.1,20.3,3.7
SWd,3,4,240726,26.1,20.4,3.9
Pr,1,1,240726,24.3,20.8,10.3
Pr,1,2,240726,24.3,21,11.7
Pr,1,3,240726,24.3,20.8,11.1
Pr,1,4,240726,24.3,20.8,12.4
Pr,2,1,240726,27.7,21.4,13.4
Pr,2,2,240726,27.7,21.6,11.9
Pr,2,3,240726,27.7,21.5,13.9
Pr,2,4,240726,27.7,21.4,11.1
Pr,3,1,240726,29,21.2,12.2
Pr,3,2,240726,29,20.4,16.5
Pr,3,3,240726,29,20.5,20.8
Pr,3,4,240726,29,21,19.2
Wt,1,1,240726,32.8,28.1,16.9
Wt,1,2,240726,32.8,27.6,23.9
Wt,1,3,240726,32.8,27.5,37.5
Wt,1,4,240726,32.8,27.4,46.4
Wt,2,1,240726,30.6,19.4,42.7
Wt,2,2,240726,30.6,19.6,45.6
Wt,2,3,240726,30.6,19.9,41.8
Wt,2,4,240726,30.6,20.3,43.7
Wt,3,1,240726,26.8,20.9,14.9
Wt,3,2,240726,26.8,21.2,14.6
Wt,3,3,240726,26.8,21.1,10.3
Wt,3,4,240726,26.8,22.9,17.2
Wt,4,1,240726,30.6,22.5,29.6
Wt,4,2,240726,30.6,23.5,28.1
Wt,4,3,240726,30.6,23.2,25.1
Wt,4,4,240726,30.6,21.6,24.1
NWdP,1,1,240726,23.4,19.6,4.4
SWdP,1,1,240726,24.3,23.2,3
PrP,1,1,240726,24.9,21.1,10.1
NWd,1,1,240914,25.2,20.3,8.9
NWd,1,2,240914,25.2,20.2,8.6
NWd,1,3,240914,25.2,20.1,8.1
NWd,1,4,240914,25.2,19.7,6.8
NWd,2,1,240914,25.2,19.7,6.6
NWd,2,2,240914,25.2,19.4,8.6
NWd,2,3,240914,25.2,19.4,9.6
NWd,2,4,240914,25.2,19.6,1.7
NWd,3,1,240914,25.2,19.8,10.1
NWd,3,2,240914,25.2,19.7,4.6
NWd,3,3,240914,25.2,19.4,4
NWd,3,4,240914,25.2,19.9,6.5
SWd,1,1,240914,26.6,20.3,13.7
SWd,1,2,240914,26.6,21.7,9.1
SWd,1,3,240914,26.6,21.6,7.1
SWd,1,4,240914,26.6,21.1,8.7
SWd,2,1,240914,27.1,21.1,11.8
SWd,2,2,240914,27.1,20.9,3.4
SWd,2,3,240914,27.1,21.1,10.4
SWd,2,4,240914,27.1,21.3,11.2
SWd,3,1,240914,28.4,20.9,6.1
SWd,3,2,240914,28.4,21.3,8.6
SWd,3,3,240914,28.4,21.1,4.6
SWd,3,4,240914,28.4,20.8,3.3
Pr,1,1,240914,26.1,21.4,12.6
Pr,1,2,240914,26.1,21.9,12.5
Pr,1,3,240914,26.1,21.9,13.5
Pr,1,4,240914,26.1,22.1,13.1
Pr,2,1,240914,36.6,21.1,16.5
Pr,2,2,240914,36.6,20.8,15.6
Pr,2,3,240914,36.6,21,14.9
Pr,2,4,240914,36.6,21.2,15.1
Pr,3,1,240914,34.1,21.4,22.4
Pr,3,2,240914,34.1,20.2,28.9
Pr,3,3,240914,34.1,20.4,18.4
Pr,3,4,240914,34.1,21.4,17.5
Wt,1,1,240914,35.9,20.7,10.5
Wt,1,2,240914,35.9,20.2,16.8
Wt,1,3,240914,35.9,18.9,31.5
Wt,1,4,240914,35.9,19.2,44
Wt,2,1,240914,31.8,18.3,36.9
Wt,2,2,240914,31.8,18.4,37.4
Wt,2,3,240914,31.8,,
Wt,2,4,240914,31.8,18.2,31.3
Wt,3,1,240914,32.5,19.1,16.2
Wt,3,2,240914,32.5,19.4,14.8
Wt,3,3,240914,32.5,19.6,8.6
Wt,3,4,240914,32.5,18.8,8.9
Wt,4,1,240914,31.8,18.6,24.8
Wt,4,2,240914,31.8,19.7,20.5
Wt,4,3,240914,31.8,20.2,18.8
Wt,4,4,240914,31.8,19.9,18.4
NWd,1,1,241025,16.1,12.7,8
NWd,1,2,241025,16.1,12.9,6.7
NWd,1,3,241025,16.1,13.2,4.5
NWd,1,4,241025,16.1,13,8.4
NWd,2,1,241025,15.4,13.9,6.9
NWd,2,2,241025,15.4,14.1,8.3
NWd,2,3,241025,15.4,14.3,8.5
NWd,2,4,241025,15.4,14.5,3.4
NWd,3,1,241025,16.4,12.9,4.8
NWd,3,2,241025,16.4,12.7,4.9
NWd,3,3,241025,16.4,12.6,6.4
NWd,3,4,241025,16.4,12.7,11.1
SWd,1,1,241025,17.3,15.2,7.6
SWd,1,2,241025,17.3,14.9,5.5
SWd,1,3,241025,17.3,14.6,6.4
SWd,1,4,241025,17.3,13.9,7.3
SWd,2,1,241025,20.2,12.7,10
SWd,2,2,241025,20.2,13.4,8.3
SWd,2,3,241025,20.2,14.1,11.6
SWd,2,4,241025,20.2,14.3,9.3
SWd,3,1,241025,19.5,14.3,7.2
SWd,3,2,241025,19.5,14.6,9
SWd,3,3,241025,19.5,15.4,8.4
SWd,3,4,241025,19.5,15.8,8.3
Pr,1,1,241025,18.6,14.9,11.5
Pr,1,2,241025,18.6,14.4,11.5
Pr,1,3,241025,18.6,14.7,12.1
Pr,1,4,241025,18.6,14.6,11.1
Pr,2,1,241025,22.4,13.3,20.3
Pr,2,2,241025,22.4,13,14.7
Pr,2,3,241025,22.4,12.7,15.3
Pr,2,4,241025,22.4,12.9,18
Pr,3,1,241025,23.4,12.9,16.2
Pr,3,2,241025,23.4,12,17.9
Pr,3,3,241025,23.4,12.1,20.5
Pr,3,4,241025,23.4,12.5,19.7
Wt,1,1,241025,23.6,14.1,3.9
Wt,1,2,241025,23.6,13.6,18.5
Wt,1,3,241025,23.6,13.1,32.4
Wt,1,4,241025,23.6,13.2,41.9
Wt,2,1,241025,18.2,11.3,38.1
Wt,2,2,241025,18.2,11.4,41
Wt,2,3,241025,18.2,11.9,32.9
Wt,2,4,241025,18.2,11.6,31.6
Wt,3,1,241025,18.7,12.4,10.2
Wt,3,2,241025,18.7,12.4,5.1
Wt,3,3,241025,18.7,12.6,14.5
Wt,3,4,241025,18.7,11.9,13.4
Wt,4,1,241025,17.4,11.6,30.6
Wt,4,2,241025,17.4,11.6,31.1
Wt,4,3,241025,17.4,11.9,23.5
Wt,4,4,241025,17.4,11.8,20
NWd,1,1,250314,23.4,7.4,7.6
NWd,1,2,250314,23.4,8.1,6.4
NWd,1,3,250314,23.4,7.1,6.9
NWd,1,4,250314,23.4,6,9.4
NWd,2,1,250314,27.7,6.6,9.1
NWd,2,2,250314,27.7,7.3,15.3
NWd,2,3,250314,27.7,2.9,16.3
NWd,2,4,250314,27.7,6,14.3
NWd,3,1,250314,27.1,5,9.4
NWd,3,2,250314,27.1,5.3,20
NWd,3,3,250314,27.1,1.9,31.8
NWd,3,4,250314,27.1,7,17.4
SWd,1,1,250314,22.3,10.1,9.1
SWd,1,2,250314,22.3,10.6,4.2
SWd,1,3,250314,22.3,10.6,6.8
SWd,1,4,250314,22.3,9.6,10.3
SWd,2,1,250314,23.6,17.6,5.8
SWd,2,2,250314,23.6,9.8,11.1
SWd,2,3,250314,23.6,10.3,12.8
SWd,2,4,250314,23.6,10.4,11.3
SWd,3,1,250314,26.7,10.5,9.3
SWd,3,2,250314,26.7,10.1,12.9
SWd,3,3,250314,26.7,10.8,9.9
SWd,3,4,250314,26.7,10.4,10.2
Pr,1,1,250314,22.2,7.4,18.9
Pr,1,2,250314,22.2,7.4,22.1
Pr,1,3,250314,22.2,7.5,22.2
Pr,1,4,250314,22.2,6.8,21.4
Pr,2,1,250314,27.4,6.3,21.9
Pr,2,2,250314,27.4,6,22.4
Pr,2,3,250314,27.4,6.3,22.1
Pr,2,4,250314,27.4,6.8,21.6
Pr,3,1,250314,26.4,7.6,22.5
Pr,3,2,250314,26.4,4.4,20.5
Pr,3,3,250314,26.4,5.8,24.6
Pr,3,4,250314,26.4,6.1,15.4
Wt,1,1,250314,25.9,15.1,20.5
Wt,1,2,250314,25.9,14.4,25.8
Wt,1,3,250314,25.9,13.8,38.7
Wt,1,4,250314,25.9,13.2,44.14
Wt,2,1,250314,29.4,14.8,43.3
Wt,2,2,250314,29.4,14.9,42.8
Wt,2,3,250314,29.4,,
Wt,2,4,250314,29.4,13.4,42.5
Wt,3,1,250314,23.4,0.8,26.1
Wt,3,2,250314,23.4,1.4,28.8
Wt,3,3,250314,23.4,3.2,30.1
Wt,3,4,250314,23.4,1.7,22.3
Wt,4,1,250314,24.5,0.2,42.2
Wt,4,2,250314,24.5,0.1,41.6
Wt,4,3,250314,24.5,2.1,37.1
Wt,4,4,250314,24.5,3,37.4
